SSP_ID_1,SSP_ID_2,K_Vec
4192,4961,1156
1616,4171,1156
2102,2975,1158
3889,4839,1160
391,1771,1163
702,1943,1163
1458,3065,1164
1532,3595,1167
899,1594,1168
1022,2888,1169
44,1365,1169
3802,4348,1170
4720,4814,1172
1531,2013,1173
1307,3668,1174
1030,5017,1174
1731,2413,1175
523,4337,1177
1715,1953,1180
1437,4867,1182
836,4015,1183
329,3443,1184
3343,3529,1186
558,4107,1188
829,1170,1188
3462,5022,1188
1371,1748,1188
1587,4461,1188
486,1483,1188
193,3439,1189
517,2325,1190
336,4420,1190
875,2462,1191
235,2152,1192
3562,5052,1194
653,2894,1194
436,3120,1195
715,1515,1196
4984,5036,1197
238,1546,1199
2059,3153,1200
4301,4812,1200
1515,1834,1202
1173,3525,1202
3468,4661,1203
3959,4812,1203
3404,3822,1203
77,781,1203
734,3544,1203
1850,2556,1203
216,3369,1204
1642,4438,1205
113,1423,1206
3562,3831,1206
3916,4314,1207
1971,2503,1208
1693,2871,1210
1285,3397,1210
3562,3832,1210
1850,2555,1210
2830,3449,1210
1851,3370,1212
1411,4283,1212
1390,4538,1213
2146,4936,1213
2540,4005,1213
1415,2190,1214
663,2039,1215
4328,4794,1216
1875,4365,1216
231,4437,1216
1128,3709,1217
4739,4955,1218
2571,3802,1219
2104,2906,1219
297,3885,1220
532,631,1220
3308,3396,1222
1910,2252,1223
2896,3515,1223
831,3837,1225
1381,3233,1228
2496,2768,1230
1412,3943,1231
132,582,1231
1685,3068,1231
967,2146,1234
2479,4246,1235
1731,4760,1235
2822,3401,1235
2824,3062,1236
2029,4720,1238
3521,5058,1239
1077,4290,1239
946,3918,1240
2243,4866,1240
801,1070,1241
1385,2103,1243
905,2059,1243
487,4482,1244
2529,4455,1245
900,4706,1245
2458,4463,1246
1001,3940,1247
806,4009,1247
3360,3631,1247
1953,4132,1248
2590,3157,1250
1843,5032,1251
2697,4404,1252
31,835,1253
1840,1950,1255
50,3385,1255
888,2711,1257
3345,3529,1259
987,5029,1260
786,4762,1260
3606,4688,1262
729,4326,1262
1560,2547,1263
771,1122,1264
2441,3582,1265
1954,3309,1267
979,4628,1268
430,4488,1269
552,4618,1271
939,4847,1273
774,5049,1273
478,2764,1274
1106,1464,1275
3019,4175,1277
1023,3638,1278
2882,3051,1280
4299,4433,1280
2360,4386,1284
2303,2659,1284
1032,4105,1287
690,1638,1287
2799,3838,1291
2327,4212,1292
744,1094,1293
1556,5026,1293
1572,3422,1293
1474,3823,1294
407,3399,1294
776,2404,1295
1645,2792,1296
1641,1957,1297
2442,2757,1297
4273,4363,1298
353,3457,1298
1767,1768,1298
1850,5048,1299
213,4622,1300
1582,4036,1300
677,3945,1300
1107,4550,1301
4113,4212,1301
1529,2209,1303
497,1372,1304
3208,3582,1306
423,3677,1308
2188,3846,1310
130,247,1311
3096,4083,1314
2268,4103,1314
1613,3338,1316
759,4315,1317
1735,4942,1319
2950,3423,1320
215,3035,1321
3278,3621,1321
2578,4119,1322
710,4355,1323
1641,4030,1323
1330,4720,1323
149,3438,1324
3818,4614,1327
110,1149,1329
1215,2826,1331
2225,3349,1331
204,585,1331
3940,4093,1331
3121,3962,1331
499,1990,1331
1732,2659,1331
1190,3644,1332
1737,3885,1338
3834,4795,1340
2149,2668,1341
1190,3778,1342
497,4985,1343
228,4273,1345
1219,3990,1345
1514,3259,1345
2833,4333,1346
3604,4796,1346
2076,2959,1346
1066,3809,1348
1699,3045,1349
2035,4578,1349
1321,3524,1350
3374,4638,1351
1411,2216,1351
2096,3090,1351
124,3028,1352
16,4714,1354
1730,3244,1354
1210,1657,1354
1654,4543,1355
2906,3016,1355
114,2525,1356
1520,1592,1356
467,4218,1359
3134,4607,1359
1936,4142,1361
1109,2864,1363
297,2471,1364
2693,2883,1365
1867,2325,1367
3496,4294,1369
366,2063,1369
2687,4011,1371
546,3988,1371
2484,4703,1371
406,3544,1372
1421,2732,1372
846,2857,1373
554,3873,1373
986,2746,1373
2463,4817,1374
1851,2607,1375
3129,4550,1379
2484,3966,1380
3364,3968,1382
679,4698,1383
574,2511,1385
716,1163,1386
973,1843,1388
334,2785,1389
2745,4325,1391
1514,2082,1391
66,3905,1392
2332,3486,1394
1670,4913,1395
401,1873,1397
199,738,1397
1283,3262,1400
3054,3544,1403
3286,3973,1404
1699,3082,1405
42,3798,1406
2561,2769,1406
1068,4141,1407
3020,3395,1409
773,4023,1412
213,3093,1412
3104,3149,1413
1019,4831,1414
3243,4405,1414
368,3023,1415
619,4123,1416
669,3308,1419
639,1923,1421
1583,3884,1421
1101,1892,1422
135,4541,1422
2015,3374,1422
2468,4118,1422
1576,3802,1423
3126,4107,1424
1272,4354,1424
196,4675,1425
3753,4102,1426
1240,1773,1426
29,975,1426
2858,4317,1426
776,1030,1428
1185,3915,1430
816,1198,1431
1680,2346,1433
2174,4572,1434
2153,3561,1435
168,1331,1436
1314,2203,1436
888,2104,1437
3973,4491,1437
2231,4412,1437
2317,4007,1438
2913,3675,1438
4726,4728,1440
10,3856,1441
1019,4664,1442
1810,2708,1442
362,3117,1442
1861,4485,1444
180,4673,1444
619,4003,1445
394,3984,1445
477,2203,1446
841,2937,1447
1995,3977,1448
778,1728,1448
449,4314,1448
169,727,1449
487,4209,1450
106,4171,1456
2043,2620,1456
2380,3493,1457
210,3226,1458
891,3465,1459
2250,4820,1460
992,1133,1461
1566,2613,1462
709,3249,1462
1474,4884,1463
865,1771,1466
2262,4379,1467
859,3260,1467
775,3567,1469
1903,3672,1471
35,1638,1471
274,3119,1471
1539,2224,1471
2985,4344,1471
2225,5024,1471
1382,3010,1471
2309,3033,1473
2295,3207,1474
924,1459,1474
698,1506,1475
3561,3786,1475
1918,4467,1475
4770,4771,1476
770,3084,1478
2419,4718,1478
2627,4636,1479
338,823,1479
656,4071,1480
811,2822,1481
2947,3901,1484
3600,4046,1486
1148,2905,1486
469,2650,1488
698,745,1489
3588,4669,1489
2668,4181,1490
91,391,1490
598,2404,1492
2558,3822,1494
3725,4177,1495
1368,4642,1495
2920,4553,1496
1986,3971,1496
2966,3515,1497
1848,2557,1499
2765,4679,1502
127,328,1502
2401,4694,1507
2757,4925,1510
443,714,1510
358,3716,1512
2400,4192,1512
1438,4383,1512
2503,3036,1512
3281,3429,1512
2883,4545,1513
3203,4589,1516
1939,3031,1518
1010,1943,1518
2811,4384,1518
1092,3580,1519
1352,2477,1520
4115,4669,1521
3667,4255,1521
1668,2904,1524
1350,3444,1526
2319,2390,1526
1527,3588,1529
726,1796,1530
352,4886,1530
1650,4333,1530
43,4888,1530
3269,3856,1531
472,4024,1531
2561,3560,1533
1776,3680,1533
2842,3707,1534
3198,4906,1534
2216,3650,1535
1622,4885,1535
530,3854,1536
2247,3433,1538
2361,3720,1538
4384,5023,1540
853,3392,1540
908,1835,1540
803,3738,1541
1014,3577,1542
2341,4352,1543
368,2318,1543
3081,4975,1544
1107,1183,1544
334,2448,1545
664,3488,1545
2896,4958,1547
1729,3707,1548
2413,3083,1549
1417,4478,1550
2445,2659,1550
1283,2652,1551
2968,4367,1551
1609,4509,1551
3695,4234,1552
1271,3124,1552
2233,2427,1552
224,228,1557
2323,4215,1559
841,2976,1559
1064,2908,1559
3588,4115,1560
2026,3960,1560
2235,3989,1560
682,2635,1561
2175,4407,1563
828,4138,1564
1361,2207,1564
1261,4184,1564
2435,2840,1565
2042,3075,1566
1332,3318,1567
3060,4023,1568
4795,4850,1569
2231,2611,1569
923,5057,1570
2005,3307,1571
990,4626,1571
3939,4458,1571
4428,4429,1572
2057,4149,1573
2662,3815,1574
1939,2466,1574
2737,4359,1576
462,521,1576
1862,2485,1577
1424,1646,1577
1555,4208,1579
3289,3366,1579
1567,2351,1582
615,2429,1582
1672,4174,1583
3150,3446,1584
67,381,1584
852,1638,1584
2776,3426,1584
2528,3065,1585
508,2690,1587
2561,3931,1588
2423,3692,1588
3501,3908,1589
584,3210,1589
2347,3688,1590
1370,2312,1590
1306,1702,1590
994,1698,1591
722,1493,1593
2296,4069,1596
917,3124,1598
3140,4672,1599
83,2762,1600
1498,4335,1601
1416,4864,1603
1988,3910,1604
1389,4540,1606
1078,3392,1606
1708,1826,1607
266,3722,1609
1138,4351,1609
241,1652,1609
1806,3652,1610
3027,4217,1612
542,4011,1612
586,1254,1612
905,2587,1613
516,1182,1614
432,629,1615
436,2987,1616
1188,3222,1616
1578,3867,1618
2344,4930,1619
210,4451,1620
2582,2612,1621
2466,4984,1624
1381,2035,1624
285,4833,1626
2610,3295,1627
546,3940,1627
1018,4927,1628
4438,4821,1629
2542,4871,1629
667,2375,1629
3365,4314,1630
1058,1912,1632
3184,4407,1633
1956,3633,1633
1337,2129,1633
3016,4168,1635
336,1434,1636
612,3413,1636
1696,3608,1637
2077,4666,1637
700,3880,1637
1441,4636,1638
938,2999,1640
3121,3307,1642
1783,3826,1644
4061,4167,1644
2519,3769,1646
142,3551,1646
1242,4441,1647
4841,4845,1648
1238,3213,1651
354,1250,1652
1827,4312,1652
244,2536,1653
4362,4885,1657
1539,5023,1657
3633,4217,1658
621,4315,1660
394,1967,1660
1711,2460,1660
1538,3241,1661
605,2600,1661
678,1135,1666
1135,1136,1666
788,4621,1667
3765,4987,1668
4034,4785,1670
