st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
367,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0
369,1061,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0
371,1076,0,0,0,0,0,0,0,0,0,0
372,3846,331,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0
375,3504,0,0,0,0,0,0,0,0,0,0
376,1386,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0
379,684,4456,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0
381,3970,1987,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0
383,3935,3300,925,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0
385,3845,0,0,0,0,0,0,0,0,0,0
386,3303,725,1268,0,0,0,0,0,0,0,0
387,201,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0
389,3276,0,0,0,0,0,0,0,0,0,0
390,4626,3143,3774,0,0,0,0,0,0,0,0
391,1732,0,0,0,0,0,0,0,0,0,0
392,155,0,0,0,0,0,0,0,0,0,0
393,2999,3695,3736,0,0,0,0,0,0,0,0
394,1160,0,0,0,0,0,0,0,0,0,0
395,3837,4742,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0
399,4724,400,0,0,0,0,0,0,0,0,0
400,4724,399,0,0,0,0,0,0,0,0,0
401,840,4954,342,0,0,0,0,0,0,0,0
402,1011,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0
404,1637,1749,3960,0,0,0,0,0,0,0,0
405,1676,3724,0,0,0,0,0,0,0,0,0
406,2547,4609,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0
408,4590,0,0,0,0,0,0,0,0,0,0
409,4915,633,32,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0
411,915,0,0,0,0,0,0,0,0,0,0
412,2780,3465,2144,2754,3810,470,1227,0,0,0,0
413,2051,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0
416,4366,520,1337,0,0,0,0,0,0,0,0
417,4377,418,0,0,0,0,0,0,0,0,0
418,4377,417,0,0,0,0,0,0,0,0,0
419,4717,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0
423,1182,4983,1774,2817,1107,4607,0,0,0,0,0
424,1690,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0
426,3303,1117,4527,888,2712,1224,3345,1551,257,0,0
