SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3
4392,128.22907625,38.0163680555556,5.88,-0.00885,-0.1723,-0.487517808852431,0.61887811681571,0.615886566323999
4393,134.48149375,-48.5729102777778,5.88,-0.00165,0.0096,-0.463615686485895,0.472083661069193,-0.749798314345744
4394,145.396316666667,31.2778172222222,5.88,0.00121,-0.0096,-0.703470449603199,0.4853585053788,0.51918825852626
4395,162.058799166667,-31.68785,5.88,-0.00229,0.0016,-0.809544830852636,0.262118871381353,-0.525291218378475
4396,169.174373333333,49.4762502777778,5.88,-0.00874,-0.011,-0.638199576113002,0.122038940070123,0.76013669701952
4397,188.041568333333,-73.0010558333333,5.88,0.00929,-0.0053,-0.289479316900182,-0.0408978534144453,-0.956310143558613
4398,189.197310833333,-5.83189833333333,5.88,-0.00184,-0.0195,-0.982034601545939,-0.159007598152009,-0.101610162367934
4399,192.544752083333,37.5169375,5.88,-0.00745,0.0218,-0.774237645254779,-0.172278920126979,0.608995929666379
4400,200.540372083333,5.15476444444444,5.88,-0.00462,-0.0356,-0.932637954282684,-0.349448265202897,0.0898462919551824
4401,201.56917625,46.028055,5.88,0.0029,-0.02,-0.645686857909523,-0.255243781077161,0.719679855035808
4402,214.753729583333,-25.8154258333333,5.88,-0.02639,0.3668,-0.739614454149561,-0.513160120536614,-0.435473477842102
4403,218.88117125,-41.5174366666667,5.88,-0.00192,-0.0232,-0.582867179999093,-0.469998353273085,-0.662847945158234
4404,222.56588,23.9118441666667,5.88,0.01056,0.0324,-0.673286378247146,-0.618378993757121,0.405330572430419
4405,227.786726666667,-84.7878119444444,5.88,0.00236,0.004,-0.0610376591085457,-0.0672838287337548,-0.99586509656754
4406,236.9080275,55.3766269444444,5.88,0.00148,0.0048,-0.310217241094132,-0.47601805737602,0.822904655704356
4407,258.324489166667,-67.1965908333333,5.88,-0.02688,-0.0901,-0.0784321414407546,-0.379551371198992,-0.921840092320779
4408,264.287015416667,72.4557941666667,5.88,0.00532,0.0153,-0.0300070733972871,-0.299944288961437,0.953484661159029
